date,rate_change_bp,rate_after_pct,cycle
2015-12-16,25,0.50,2015-2018
2016-12-14,25,0.75,2015-2018
2017-03-15,25,1.00,2015-2018
2017-06-14,25,1.25,2015-2018
2017-12-13,25,1.50,2015-2018
2018-03-21,25,1.75,2015-2018
2018-06-13,25,2.00,2015-2018
2018-09-26,25,2.25,2015-2018
2018-12-19,25,2.50,2015-2018
2022-03-16,25,0.50,2022-2023
2022-05-04,50,1.00,2022-2023
2022-06-15,75,1.75,2022-2023
2022-07-27,75,2.50,2022-2023
2022-09-21,75,3.25,2022-2023
2022-11-02,75,4.00,2022-2023
2022-12-14,50,4.50,2022-2023
2023-02-01,25,4.75,2022-2023
2023-03-22,25,5.00,2022-2023
2023-05-03,25,5.25,2022-2023
2023-07-26,25,5.50,2022-2023
